store_id,store_name,store_street_address,store_city,store_state,store_zip,store_country,store_phone,store_lat,store_long
45,Biloxi Neighborhood Market,2050 Pass Road,Biloxi,MS,39531,US,228-271-6723,30.403829,-88.958552
46,Horn Lake Store,4150 Goodman Road West,Horn Lake,MS,38637,US,662-253-6184,34.964734,-90.063157
47,Helena Store,2750 Prospect Ave,Helena,MT,59601,US,406-443-3220,46.593512,-111.990661
48,Mooresville Store,169 Norman Station Blvd,Mooresville,NC,28117,US,704-664-5238,35.589556,-80.855035
49,Hillsborough Store,501 Hampton Pointe B,Hillsborough,NC,27278,US,919-732-9172,36.056242,-79.085802
50,Bottineau Store,912 11th St E,Bottineau,ND,58318,US,701-228-5276,48.8185472,-100.4324835
51,Grand Forks Store,5755 Gateway Drive,Grand Forks,ND,58203,US,701-620-6003,47.930327,-97.113369
52,York Store,101 E David Dr,York,NE,68467,US,402-362-3366,40.82787,-97.593326
53,Fairbury Store,2831 Highway 15,Fairbury,NE,68352,US,402-729-3394,40.162702,-97.175372
54,Kearney Store,5411 2nd Ave,Kearney,NE,68847,US,308-234-8448,40.726452,-99.081096
55,Epping Store,35 Fresh River Rd,Epping,NH,3042,US,603-679-5919,43.027448,-71.068055
56,Keene Store,350 Winchester St,Keene,NH,3431,US,603-357-7200,42.924172,-72.286498
57,Woodsville Store,4901 Dartmouth College Hwy,Woodsville,NH,3785,US,603-747-8250,44.140637,-72.026407
58,Turnersville Store,3501 Route 42,Turnersville,NJ,8012,US,856-629-3888,39.729508,-75.035783
59,Las Cruces Neighborhood Market,150 N Sonoma Ranch Blvd,Las Cruces,NM,88001,US,575-323-6098,32.328121,-106.721759
60,Las Vegas Store,6005 S Eastern Ave,Las Vegas,NV,89119,US,702-451-8900,36.080571,-115.122253
61,Lowville Store,7155 E State St # 12south,Lowville,NY,13367,US,315-376-7030,43.7736414,-75.478088
62,Johnson City Store,2 Gannett Dr,Johnson City,NY,13790,US,607-240-5040,42.115453,-75.946979
63,Urbana Store,1840 E Us Highway 36,Urbana,OH,43078,US,937-653-5313,40.108516,-83.715962
64,Norman Neighborhood Market,2551 Classen Blvd,Norman,OK,73071,US,405-515-7418,35.193337,-97.422127
65,Oklahoma City Store,3301 Sw 104th Street,Oklahoma City,OK,73159,US,405-300-6584,35.365591,-97.576797
66,Klamath Falls Store,3600 Washburn Way,Klamath Falls,OR,97603,US,541-885-6890,42.193388,-121.760604
67,Lebanon Store,3290 S Santiam Hwy,Lebanon,OR,97355,US,541-258-7400,44.516753,-122.900683
68,Camp Hill Store,3400 Hartzdale Drive,Camp Hill,PA,17011,US,717-409-3102,40.224885,-76.928412
69,Philadelphia Store,2200 Wheatsheaf Ln,Philadelphia,PA,19137,US,215-613-2236,39.999062,-75.091761
70,Fajardo Store,150 Carr 940 Ste 180,Fajardo,PR,738,PR,787-860-1020,18.34303,-65.674169
71,Providence Store,51 Silver Spring St,Providence,RI,2904,US,401-272-5047,41.845607,-71.416056
72,Sumter Neighborhood Market,343 Pinewood Rd,Sumter,SC,29150,US,803-305-6238,33.906164,-80.378092
73,Sioux Falls Store,5200 West 60th Street North,Sioux Falls,SD,57107,US,605-906-6078,43.603247,-96.789691
74,Brownsville Store,1100 S Dupree Ave,Brownsville,TN,38012,US,731-772-9551,35.5867,-89.238093
75,Dallas Store,15757 Coit Rd,Dallas,TX,75248,US,972-235-0681,32.963412,-96.770294
76,Cedar City Store,1330 S Providence Center Dr,Cedar City,UT,84720,US,435-586-0172,37.65447,-113.088367
77,Tooele Store,99 W 1280 N,Tooele,UT,84074,US,435-882-0180,40.555998,-112.30067
78,Murray Pickup only,5596 S Van Winkle Expy,Murray,UT,84117,US,801-278-8290,40.649827,-111.849349
79,Abingdon Store,16032 Fifteen Mile Boulevard,Abingdon,VA,24211,US,276-619-4843,36.714643,-81.927722
80,Derby Store,115 Seymour Drive,Derby,VT,5829,US,802-624-8012,44.949783,-72.171052
81,Pullman Store,1690 Se Harvest Dr,Pullman,WA,99163,US,509-334-2990,46.712044,-117.175627
82,Omak Store,902 Engh Rd,Omak,WA,98841,US,509-826-6002,48.4139887,-119.5078293
83,Bellevue Store,12620 Se 41st Pl,Bellevue,WA,98006,US,425-201-7543,47.572888,-122.172531
84,Monroe Store,300 6th Ave West,Monroe,WI,53566,US,608-325-7701,42.6095957,-89.6635797
85,Dodgeville Store,601 E Leffler St,Dodgeville,WI,53533,US,608-935-2723,42.973808,-90.119979
